date,budget,title,awards,inflation,inflationrate,best
2005,110,The Aviator,11,132,1.2,
2005,40,Ray,6,48,1.2,
2005,30,Million Dollar Baby,7,36,1.2,TRUE
2005,25,Finding Neverland,7,30,1.2,
2005,12,Sideways,5,14.4,1.2,
2006,70,Munich,5,81.9,1.17,
2006,14,Brokeback Mountain,8,16.38,1.17,
2006,7,Crash,6,8.19,1.17,TRUE
2006,7,Capote,5,8.19,1.17,
2006,7,"Good Night, and Good Luck",6,8.19,1.17,
2007,90,The Departed,5,102.6,1.14,TRUE
2007,25,Babel,7,28.5,1.14,
2007,19,Letters from Iwo Jima,4,21.66,1.14,
2007,15,The Queen,6,17.1,1.14,
2007,8,Little Miss Sunshine,4,9.12,1.14,
2008,25,No Country for Old Men,8,27.5,1.1,TRUE
2008,30,Atonement,7,102.6,1.1,
2008,25,Michael Clayton,7,27.5,1.1,
2008,25,There Will Be Blood,8,27.5,1.1,
2008,8,Juno,4,8.8,1.1,
2009,150,The Curious Case of Benjamin Button,13,165,1.1,
2009,35,Frost/Nixon,5,38.5,1.1,
2009,32,The Reader,5,35.2,1.1,
2009,20,Milk,8,22,1.1,
2009,15,Slumdog Millionaire,10,16.5,1.1,TRUE
2010,237,Avatar,9,253.59,1.07,
2010,175,Up,5,187.25,1.07,
2010,75,Inglourious Basterds,8,80.25,1.07,
2010,30,District 9,4,32.1,1.07,
2010,29,The Blind Side,2,31.03,1.07,
2010,25,Up in the Air,6,26.75,1.07,
2010,15,The Hurt Locker,9,16.05,1.07,TRUE
2010,10,Precious,6,10.7,1.07,
2010,8,An Education,3,8.56,1.07,
2010,7,A Serious Man,2,7.49,1.07,
2011,200,Toy Story 3,5,210,1.05,
2011,160,Inception,8,168,1.05,
2011,40,The Social Network,8,42,1.05,
2011,38,True Grit,10,39.9,1.05,
2011,25,The Fighter,7,26.25,1.05,
2011,18,127 Hours,6,18.9,1.05,
2011,15,The King's Speech,12,15.75,1.05,TRUE
2011,13,Black Swan,5,13.65,1.05,
2011,4,The Kids Are All Right,4,4.2,1.05,
2011,2,Winter's Bone,4,2.1,1.05,
2012,160,Hugo,11,,1.03,
2012,66,War Horse,6,,1.03,
2012,50,Moneyball,6,,1.03,
2012,40,Extremely Loud & Incredibly Close,2,,1.03,
2012,32,The Tree of Life,3,,1.03,
2012,25,The Help,4,,1.03,
2012,20,The Descendants,5,,1.03,
2012,17,Midnight in Paris,4,,1.03,
2012,15,The Artist,10,,1.03,TRUE
2013,120,Life of Pi,11,,,
2013,100,Django Unchained,5,,,
2013,65,Lincoln,12,,,
2013,61,Les Misérables,8,,,
2013,45,Argo,8,,,TRUE
2013,40,Zero Dark Thirty,5,,,
2013,21,Silver Linings Playbook,8,,,
2013,9,Amour,5,,,
2013,1.5,Beasts of the Southern Wild,4,,,
2014,100,Gravity,12,,,
2014,100,The Wolf of Wall Street,5,,,
2014,55,Captain Phillips,6,,,
2014,40,American Hustle,12,,,
2014,23,Her,5,,,
2014,20,12 Years a Slave,9,,,TRUE
2014,12,Nebraska,6,,,
2014,12,Philomena,4,,,
2014,5,Dallas Buyers Club,6,,,
2015,59,American Sniper,6,,,
2015,30,Grand Budapest Hotel,9,,,
2015,20,Selma,2,,,
2015,18,Birdman,9,,,TRUE
2015,15,The Theory of Everything,5,,,
2015,14,Imitation Game,8,,,
2015,4,Boyhood,6,,,
2015,3,Whiplash,5,,,
2016,40,Bridge of Spies,6,,,
2016,150,Mad Max: Fury Road,10,,,
2016,135,The Revenant,5,,,
2016,20,Spotlight,6,,,TRUE
2016,108,The Martian,7,,,
2016,28,The Big Short,5,,,
2016,13,Room,4,,,
2016,11,Brooklyn,3,,,
2017,30,La La Land,14,,,
2017,47,Arrival,8,,,
2017,12,Lion,6,,,
2017,23,Hell or High Water,4,,,
2017,3,Hidden Figures,25,,,
2017,1.5,Moonlight,6,,,TRUE
2017,40,Hacksaw Ridge,6,,,
2017,8.5,Manchester by the Sea,6,,,
2017,24,Fences,4,,,
2018,19.5,The Shape of Water,13,,,
2018,30,Darkest Hour,6,,,
2018,100,Dunkirk,8,,,
2018,35,Phantom Thread,6,,,
2018,12,"Three Billboards Outside Ebbing, Missouri",7,,,
2018,4.5,Get Out,4,,,
2018,50,The Post,2,,,
2018,3.5,Call Me by Your Name,4,,,
2018,5,Lady Bird,10,,,